Waiting Time,0.3112
Number Waiting,0.2530
Instantaneous Utilization,0.4023
Waiting Time,0.2916
Number Waiting,0.2318
Instantaneous Utilization,0.3718
Waiting Time,0.2258
Number Waiting,0.1835
Instantaneous Utilization,0.3909
Waiting Time,0.3137
Number Waiting,0.2350
Instantaneous Utilization,0.3609
Waiting Time,0.2935
Number Waiting,0.2231
Instantaneous Utilization,0.3692
Waiting Time,0.2647
Number Waiting,0.2133
Instantaneous Utilization,0.3666
Waiting Time,0.2953
Number Waiting,0.2513
Instantaneous Utilization,0.4215
Waiting Time,0.2674
Number Waiting,0.2222
Instantaneous Utilization,0.3964
Waiting Time,0.2595
Number Waiting,0.2050
Instantaneous Utilization,0.3752
Waiting Time,0.3563
Number Waiting,0.2847
Instantaneous Utilization,0.3866
Waiting Time,0.2304
Number Waiting,0.1857
Instantaneous Utilization,0.3800
Waiting Time,0.2821
Number Waiting,0.2429
Instantaneous Utilization,0.4018
Waiting Time,0.2939
Number Waiting,0.2326
Instantaneous Utilization,0.3896
Waiting Time,0.2457
Number Waiting,0.2042
Instantaneous Utilization,0.3992
Waiting Time,0.3101
Number Waiting,0.2453
Instantaneous Utilization,0.3769
Waiting Time,0.3034
Number Waiting,0.2530
Instantaneous Utilization,0.3984
Waiting Time,0.2887
Number Waiting,0.2342
Instantaneous Utilization,0.3962
Waiting Time,0.3125
Number Waiting,0.2597
Instantaneous Utilization,0.3928
Waiting Time,0.2892
Number Waiting,0.2376
Instantaneous Utilization,0.3627
Waiting Time,0.3070
Number Waiting,0.2569
Instantaneous Utilization,0.4113
Waiting Time,0.3560
Number Waiting,0.2880
Instantaneous Utilization,0.4014
Waiting Time,0.4512
Number Waiting,0.3470
Instantaneous Utilization,0.3855
Waiting Time,0.2565
Number Waiting,0.2064
Instantaneous Utilization,0.3793
Waiting Time,0.3321
Number Waiting,0.2823
Instantaneous Utilization,0.4036
Waiting Time,0.3000
Number Waiting,0.2289
Instantaneous Utilization,0.3784
Waiting Time,0.1972
Number Waiting,0.1499
Instantaneous Utilization,0.3429
Waiting Time,0.2689
Number Waiting,0.2237
Instantaneous Utilization,0.4006
Waiting Time,0.3459
Number Waiting,0.2905
Instantaneous Utilization,0.4164
Waiting Time,0.3573
Number Waiting,0.3055
Instantaneous Utilization,0.4093
Waiting Time,0.3257
Number Waiting,0.2726
Instantaneous Utilization,0.3999
Waiting Time,0.2912
Number Waiting,0.2358
Instantaneous Utilization,0.3784
Waiting Time,0.3631
Number Waiting,0.3094
Instantaneous Utilization,0.4182
Waiting Time,0.2914
Number Waiting,0.2275
Instantaneous Utilization,0.3801
Waiting Time,0.3268
Number Waiting,0.2710
Instantaneous Utilization,0.3984
Waiting Time,0.2852
Number Waiting,0.2379
Instantaneous Utilization,0.3967
Waiting Time,0.2059
Number Waiting,0.1540
Instantaneous Utilization,0.3486
Waiting Time,0.2377
Number Waiting,0.1927
Instantaneous Utilization,0.3674
Waiting Time,0.2400
Number Waiting,0.1894
Instantaneous Utilization,0.3801
