Waiting Time,0.3074
Number Waiting,0.2333
Instantaneous Utilization,0.4026
Waiting Time,0.2884
Number Waiting,0.2108
Instantaneous Utilization,0.3865
Waiting Time,0.2783
Number Waiting,0.2113
Instantaneous Utilization,0.3937
Waiting Time,0.3325
Number Waiting,0.2410
Instantaneous Utilization,0.3605
Waiting Time,0.2424
Number Waiting,0.1681
Instantaneous Utilization,0.3567
Waiting Time,0.3187
Number Waiting,0.2387
Instantaneous Utilization,0.3861
Waiting Time,0.3645
Number Waiting,0.2843
Instantaneous Utilization,0.4493
Waiting Time,0.4353
Number Waiting,0.3312
Instantaneous Utilization,0.4099
Waiting Time,0.3111
Number Waiting,0.2271
Instantaneous Utilization,0.3928
Waiting Time,0.3330
Number Waiting,0.2444
Instantaneous Utilization,0.3996
Waiting Time,0.2483
Number Waiting,0.1845
Instantaneous Utilization,0.3710
Waiting Time,0.3574
Number Waiting,0.2831
Instantaneous Utilization,0.4118
Waiting Time,0.2758
Number Waiting,0.2052
Instantaneous Utilization,0.3931
Waiting Time,0.2873
Number Waiting,0.2210
Instantaneous Utilization,0.3899
Waiting Time,0.3117
Number Waiting,0.2319
Instantaneous Utilization,0.3723
Waiting Time,0.3538
Number Waiting,0.2731
Instantaneous Utilization,0.3955
Waiting Time,0.3740
Number Waiting,0.2816
Instantaneous Utilization,0.4138
Waiting Time,0.4354
Number Waiting,0.3435
Instantaneous Utilization,0.4222
Waiting Time,0.4177
Number Waiting,0.3154
Instantaneous Utilization,0.3577
Waiting Time,0.4848
Number Waiting,0.3718
Instantaneous Utilization,0.4243
Waiting Time,0.3343
Number Waiting,0.2461
Instantaneous Utilization,0.3708
Waiting Time,0.3488
Number Waiting,0.2507
Instantaneous Utilization,0.3823
Waiting Time,0.2463
Number Waiting,0.1830
Instantaneous Utilization,0.3822
Waiting Time,0.3690
Number Waiting,0.2900
Instantaneous Utilization,0.4137
Waiting Time,0.1961
Number Waiting,0.1368
Instantaneous Utilization,0.3259
Waiting Time,0.3521
Number Waiting,0.2496
Instantaneous Utilization,0.3841
Waiting Time,0.3677
Number Waiting,0.2813
Instantaneous Utilization,0.3942
Waiting Time,0.3597
Number Waiting,0.2769
Instantaneous Utilization,0.4013
Waiting Time,0.3897
Number Waiting,0.3098
Instantaneous Utilization,0.4108
Waiting Time,0.4116
Number Waiting,0.3124
Instantaneous Utilization,0.4108
Waiting Time,0.3862
Number Waiting,0.2935
Instantaneous Utilization,0.4012
Waiting Time,0.3360
Number Waiting,0.2641
Instantaneous Utilization,0.4181
Waiting Time,0.3763
Number Waiting,0.2758
Instantaneous Utilization,0.3607
Waiting Time,0.3342
Number Waiting,0.2564
Instantaneous Utilization,0.4049
Waiting Time,0.3569
Number Waiting,0.2756
Instantaneous Utilization,0.4097
Waiting Time,0.2994
Number Waiting,0.2048
Instantaneous Utilization,0.3665
Waiting Time,0.3150
Number Waiting,0.2369
Instantaneous Utilization,0.3942
Waiting Time,0.3303
Number Waiting,0.2417
Instantaneous Utilization,0.4054
Waiting Time,0.3303
Number Waiting,0.2368
Instantaneous Utilization,0.3702
Waiting Time,0.3237
Number Waiting,0.2519
Instantaneous Utilization,0.4193
Waiting Time,0.3139
Number Waiting,0.2398
Instantaneous Utilization,0.3898
Waiting Time,0.2835
Number Waiting,0.2030
Instantaneous Utilization,0.3625
Waiting Time,0.2895
Number Waiting,0.2197
Instantaneous Utilization,0.4016
Waiting Time,0.3197
Number Waiting,0.2417
Instantaneous Utilization,0.3980
Waiting Time,0.3805
Number Waiting,0.2671
Instantaneous Utilization,0.3999
Waiting Time,0.3170
Number Waiting,0.2304
Instantaneous Utilization,0.3801
Waiting Time,0.3072
Number Waiting,0.2255
Instantaneous Utilization,0.3637
Waiting Time,0.3075
Number Waiting,0.2328
Instantaneous Utilization,0.3636
Waiting Time,0.3768
Number Waiting,0.2773
Instantaneous Utilization,0.4185
Waiting Time,0.2622
Number Waiting,0.2066
Instantaneous Utilization,0.3775
Waiting Time,0.3861
Number Waiting,0.2915
Instantaneous Utilization,0.4009
Waiting Time,0.3644
Number Waiting,0.2766
Instantaneous Utilization,0.3952
Waiting Time,0.3756
Number Waiting,0.2817
Instantaneous Utilization,0.3943
Waiting Time,0.2636
Number Waiting,0.2067
Instantaneous Utilization,0.3857
Waiting Time,0.3355
Number Waiting,0.2389
Instantaneous Utilization,0.3851
Waiting Time,0.4031
Number Waiting,0.3132
Instantaneous Utilization,0.4206
Waiting Time,0.2734
Number Waiting,0.2015
Instantaneous Utilization,0.3796
Waiting Time,0.4347
Number Waiting,0.3226
Instantaneous Utilization,0.3917
Waiting Time,0.2801
Number Waiting,0.1992
Instantaneous Utilization,0.3682
Waiting Time,0.3479
Number Waiting,0.2491
Instantaneous Utilization,0.3525
Waiting Time,0.4215
Number Waiting,0.2904
Instantaneous Utilization,0.3604
Waiting Time,0.4001
Number Waiting,0.2881
Instantaneous Utilization,0.3931
Waiting Time,0.3206
Number Waiting,0.2356
Instantaneous Utilization,0.3828
Waiting Time,0.3834
Number Waiting,0.2803
Instantaneous Utilization,0.3810
Waiting Time,0.2335
Number Waiting,0.1586
Instantaneous Utilization,0.3414
Waiting Time,0.2703
Number Waiting,0.1919
Instantaneous Utilization,0.3894
Waiting Time,0.2774
Number Waiting,0.1981
Instantaneous Utilization,0.3608
Waiting Time,0.3380
Number Waiting,0.2390
Instantaneous Utilization,0.3753
Waiting Time,0.4007
Number Waiting,0.3074
Instantaneous Utilization,0.4178
Waiting Time,0.3732
Number Waiting,0.2975
Instantaneous Utilization,0.4178
Waiting Time,0.3268
Number Waiting,0.2400
Instantaneous Utilization,0.3866
Waiting Time,0.2704
Number Waiting,0.1868
Instantaneous Utilization,0.3458
Waiting Time,0.2881
Number Waiting,0.2149
Instantaneous Utilization,0.3801
Waiting Time,0.2741
Number Waiting,0.1957
Instantaneous Utilization,0.3473
Waiting Time,0.3859
Number Waiting,0.2921
Instantaneous Utilization,0.4009
Waiting Time,0.4343
Number Waiting,0.3405
Instantaneous Utilization,0.4154
Waiting Time,0.4190
Number Waiting,0.3201
Instantaneous Utilization,0.4122
Waiting Time,0.3972
Number Waiting,0.2892
Instantaneous Utilization,0.4023
Waiting Time,0.3640
Number Waiting,0.2581
Instantaneous Utilization,0.3873
Waiting Time,0.4054
Number Waiting,0.2959
Instantaneous Utilization,0.3939
Waiting Time,0.3115
Number Waiting,0.2196
Instantaneous Utilization,0.3699
Waiting Time,0.3004
Number Waiting,0.2120
Instantaneous Utilization,0.3883
Waiting Time,0.3549
Number Waiting,0.2570
