Waiting Time,0.3800
Number Waiting,0.2884
Instantaneous Utilization,0.4192
Waiting Time,0.5452
Number Waiting,0.3986
Instantaneous Utilization,0.4503
Waiting Time,0.4188
Number Waiting,0.3179
Instantaneous Utilization,0.4378
Waiting Time,0.3346
Number Waiting,0.2359
Instantaneous Utilization,0.4312
Waiting Time,0.3312
Number Waiting,0.2292
Instantaneous Utilization,0.4098
Waiting Time,0.5499
Number Waiting,0.4120
Instantaneous Utilization,0.4489
Waiting Time,0.6782
Number Waiting,0.5290
Instantaneous Utilization,0.5089
Waiting Time,0.3679
Number Waiting,0.2829
Instantaneous Utilization,0.4095
Waiting Time,0.4816
Number Waiting,0.3515
Instantaneous Utilization,0.4300
Waiting Time,0.5052
Number Waiting,0.3720
Instantaneous Utilization,0.4479
Waiting Time,0.3331
Number Waiting,0.2475
Instantaneous Utilization,0.4223
Waiting Time,0.5445
Number Waiting,0.4313
Instantaneous Utilization,0.4782
Waiting Time,0.4320
Number Waiting,0.3214
Instantaneous Utilization,0.4400
Waiting Time,0.3588
Number Waiting,0.2768
Instantaneous Utilization,0.4323
Waiting Time,0.4027
Number Waiting,0.2992
Instantaneous Utilization,0.4167
Waiting Time,0.5227
Number Waiting,0.4035
Instantaneous Utilization,0.4707
Waiting Time,0.4873
Number Waiting,0.3670
Instantaneous Utilization,0.4485
Waiting Time,0.4368
Number Waiting,0.3438
Instantaneous Utilization,0.4618
Waiting Time,0.4511
Number Waiting,0.3402
Instantaneous Utilization,0.4383
Waiting Time,0.5033
Number Waiting,0.3855
Instantaneous Utilization,0.4645
Waiting Time,0.5387
Number Waiting,0.3960
Instantaneous Utilization,0.4483
Waiting Time,0.3337
Number Waiting,0.2373
Instantaneous Utilization,0.4055
Waiting Time,0.4817
Number Waiting,0.3570
Instantaneous Utilization,0.4356
Waiting Time,0.5082
Number Waiting,0.3994
Instantaneous Utilization,0.4696
Waiting Time,0.3448
Number Waiting,0.2406
Instantaneous Utilization,0.4105
Waiting Time,0.3491
Number Waiting,0.2487
Instantaneous Utilization,0.4155
Waiting Time,0.3972
Number Waiting,0.3035
Instantaneous Utilization,0.4466
Waiting Time,0.4236
Number Waiting,0.3261
Instantaneous Utilization,0.4568
Waiting Time,0.4267
Number Waiting,0.3392
Instantaneous Utilization,0.4751
Waiting Time,0.4639
Number Waiting,0.3521
Instantaneous Utilization,0.4452
Waiting Time,0.7307
Number Waiting,0.5553
Instantaneous Utilization,0.4431
Waiting Time,0.6364
Number Waiting,0.5002
Instantaneous Utilization,0.4654
Waiting Time,0.3574
Number Waiting,0.2620
Instantaneous Utilization,0.4005
Waiting Time,0.5451
Number Waiting,0.4170
Instantaneous Utilization,0.4502
Waiting Time,0.3995
Number Waiting,0.3080
Instantaneous Utilization,0.4610
Waiting Time,0.4399
Number Waiting,0.3009
Instantaneous Utilization,0.4050
Waiting Time,0.5528
Number Waiting,0.4157
Instantaneous Utilization,0.4645
Waiting Time,0.3545
Number Waiting,0.2591
Instantaneous Utilization,0.4253
Waiting Time,0.5665
Number Waiting,0.4062
Instantaneous Utilization,0.4512
Waiting Time,0.4826
Number Waiting,0.3752
Instantaneous Utilization,0.4563
Waiting Time,0.6084
Number Waiting,0.4648
Instantaneous Utilization,0.4628
Waiting Time,0.4207
Number Waiting,0.3011
Instantaneous Utilization,0.4166
Waiting Time,0.5445
Number Waiting,0.4127
Instantaneous Utilization,0.4428
Waiting Time,0.4604
Number Waiting,0.3481
Instantaneous Utilization,0.4678
Waiting Time,0.3483
Number Waiting,0.2445
Instantaneous Utilization,0.4009
Waiting Time,0.4953
Number Waiting,0.3601
Instantaneous Utilization,0.4282
Waiting Time,0.3367
Number Waiting,0.2471
Instantaneous Utilization,0.4189
Waiting Time,0.5678
Number Waiting,0.4298
Instantaneous Utilization,0.4577
Waiting Time,0.3689
Number Waiting,0.2715
Instantaneous Utilization,0.3970
Waiting Time,0.4823
Number Waiting,0.3800
Instantaneous Utilization,0.4699
Waiting Time,0.4440
Number Waiting,0.3348
Instantaneous Utilization,0.4116
Waiting Time,0.4244
Number Waiting,0.3221
Instantaneous Utilization,0.4657
Waiting Time,0.4906
Number Waiting,0.3679
Instantaneous Utilization,0.4103
Waiting Time,0.4451
Number Waiting,0.3485
Instantaneous Utilization,0.4607
Waiting Time,0.3933
Number Waiting,0.2796
Instantaneous Utilization,0.4195
Waiting Time,0.4436
Number Waiting,0.3453
Instantaneous Utilization,0.4577
Waiting Time,0.5168
Number Waiting,0.3798
Instantaneous Utilization,0.4295
Waiting Time,0.3810
Number Waiting,0.2827
Instantaneous Utilization,0.4156
Waiting Time,0.4351
Number Waiting,0.3094
Instantaneous Utilization,0.4301
Waiting Time,0.5088
Number Waiting,0.3643
Instantaneous Utilization,0.4223
Waiting Time,0.4736
Number Waiting,0.3299
Instantaneous Utilization,0.4156
Waiting Time,0.4684
Number Waiting,0.3372
Instantaneous Utilization,0.4418
Waiting Time,0.4160
Number Waiting,0.3057
Instantaneous Utilization,0.4572
Waiting Time,0.5138
Number Waiting,0.3750
Instantaneous Utilization,0.4346
Waiting Time,0.3891
Number Waiting,0.2642
Instantaneous Utilization,0.4117
Waiting Time,0.3856
Number Waiting,0.2738
Instantaneous Utilization,0.4394
Waiting Time,0.4267
Number Waiting,0.3047
Instantaneous Utilization,0.4179
Waiting Time,0.5125
Number Waiting,0.3624
Instantaneous Utilization,0.4185
Waiting Time,0.4019
Number Waiting,0.3079
Instantaneous Utilization,0.4647
Waiting Time,0.4836
Number Waiting,0.3845
Instantaneous Utilization,0.4715
Waiting Time,0.5296
Number Waiting,0.3839
Instantaneous Utilization,0.4436
Waiting Time,0.3910
Number Waiting,0.2702
Instantaneous Utilization,0.3929
Waiting Time,0.5386
Number Waiting,0.4018
Instantaneous Utilization,0.4362
Waiting Time,0.6545
Number Waiting,0.4673
Instantaneous Utilization,0.4578
Waiting Time,0.4676
Number Waiting,0.3540
Instantaneous Utilization,0.4342
Waiting Time,0.4290
Number Waiting,0.3369
Instantaneous Utilization,0.4423
Waiting Time,0.4334
Number Waiting,0.3312
Instantaneous Utilization,0.4545
Waiting Time,0.4573
Number Waiting,0.3329
Instantaneous Utilization,0.4283
Waiting Time,0.4140
Number Waiting,0.2933
Instantaneous Utilization,0.4156
Waiting Time,0.5309
Number Waiting,0.3870
Instantaneous Utilization,0.4638
Waiting Time,0.3814
Number Waiting,0.2710
Instantaneous Utilization,0.4233
Waiting Time,0.4265
Number Waiting,0.2999
Instantaneous Utilization,0.4226
Waiting Time,0.4307
Number Waiting,0.3116
Instantaneous Utilization,0.4126
Waiting Time,0.4937
Number Waiting,0.3738
Instantaneous Utilization,0.4457
Waiting Time,0.5059
Number Waiting,0.3719
Instantaneous Utilization,0.4550
Waiting Time,0.5970
Number Waiting,0.4585
Instantaneous Utilization,0.4769
Waiting Time,0.4024
Number Waiting,0.2720
Instantaneous Utilization,0.4014
Waiting Time,0.4674
Number Waiting,0.3430
Instantaneous Utilization,0.4174
Waiting Time,0.4705
Number Waiting,0.3717
Instantaneous Utilization,0.4611
Waiting Time,0.3249
Number Waiting,0.2281
Instantaneous Utilization,0.3881
Waiting Time,0.3173
Number Waiting,0.2265
Instantaneous Utilization,0.3875
Waiting Time,0.4208
Number Waiting,0.2979
Instantaneous Utilization,0.4068
Waiting Time,0.5624
Number Waiting,0.4305
Instantaneous Utilization,0.4402
Waiting Time,0.4782
Number Waiting,0.3567
Instantaneous Utilization,0.4381
Waiting Time,0.6607
Number Waiting,0.4823
Instantaneous Utilization,0.4523
Waiting Time,0.5334
Number Waiting,0.3915
Instantaneous Utilization,0.4347
Waiting Time,0.3897
Number Waiting,0.2868
Instantaneous Utilization,0.4207
Waiting Time,0.4069
Number Waiting,0.3072
Instantaneous Utilization,0.4469
Waiting Time,0.4644
Number Waiting,0.3497
Instantaneous Utilization,0.4421
Waiting Time,0.4169
Number Waiting,0.3156
Instantaneous Utilization,0.4420
