Waiting Time,0.3326
Number Waiting,0.1686
Instantaneous Utilization,0.3207
Waiting Time,0.2510
Number Waiting,0.1252
Instantaneous Utilization,0.2977
Waiting Time,0.3794
Number Waiting,0.1783
Instantaneous Utilization,0.3175
Waiting Time,0.2208
Number Waiting,0.1023
Instantaneous Utilization,0.2835
Waiting Time,0.2869
Number Waiting,0.1331
Instantaneous Utilization,0.3019
Waiting Time,0.3249
Number Waiting,0.1556
Instantaneous Utilization,0.3244
Waiting Time,0.3213
Number Waiting,0.1648
Instantaneous Utilization,0.3408
Waiting Time,0.2460
Number Waiting,0.1178
Instantaneous Utilization,0.3210
Waiting Time,0.2972
Number Waiting,0.1441
Instantaneous Utilization,0.3363
Waiting Time,0.4513
Number Waiting,0.2189
Instantaneous Utilization,0.3273
Waiting Time,0.3411
Number Waiting,0.1600
Instantaneous Utilization,0.3144
Waiting Time,0.3394
Number Waiting,0.1740
Instantaneous Utilization,0.3268
Waiting Time,0.2197
Number Waiting,0.1055
Instantaneous Utilization,0.2955
Waiting Time,0.3748
Number Waiting,0.1924
Instantaneous Utilization,0.3584
Waiting Time,0.4199
Number Waiting,0.1957
Instantaneous Utilization,0.3374
Waiting Time,0.3518
Number Waiting,0.1759
Instantaneous Utilization,0.3436
Waiting Time,0.3729
Number Waiting,0.1827
Instantaneous Utilization,0.3367
Waiting Time,0.3556
Number Waiting,0.1725
Instantaneous Utilization,0.3287
Waiting Time,0.3008
Number Waiting,0.1546
Instantaneous Utilization,0.3393
Waiting Time,0.3667
Number Waiting,0.1735
Instantaneous Utilization,0.3332
Waiting Time,0.3455
Number Waiting,0.1738
Instantaneous Utilization,0.3462
Waiting Time,0.2918
Number Waiting,0.1372
Instantaneous Utilization,0.3267
Waiting Time,0.3550
Number Waiting,0.1764
Instantaneous Utilization,0.3220
Waiting Time,0.3725
Number Waiting,0.1985
Instantaneous Utilization,0.3486
Waiting Time,0.2834
Number Waiting,0.1304
Instantaneous Utilization,0.3084
Waiting Time,0.3266
Number Waiting,0.1457
Instantaneous Utilization,0.3207
Waiting Time,0.4301
Number Waiting,0.2176
Instantaneous Utilization,0.3597
Waiting Time,0.3022
Number Waiting,0.1550
Instantaneous Utilization,0.3206
Waiting Time,0.2936
Number Waiting,0.1477
Instantaneous Utilization,0.3302
Waiting Time,0.3653
Number Waiting,0.1859
Instantaneous Utilization,0.3458
Waiting Time,0.1943
Number Waiting,0.08955772
Instantaneous Utilization,0.2872
Waiting Time,0.3695
Number Waiting,0.1951
Instantaneous Utilization,0.3362
Waiting Time,0.2328
Number Waiting,0.1059
Instantaneous Utilization,0.2937
Waiting Time,0.4941
Number Waiting,0.2461
Instantaneous Utilization,0.3243
Waiting Time,0.3863
Number Waiting,0.1897
Instantaneous Utilization,0.3015
Waiting Time,0.2946
Number Waiting,0.1293
Instantaneous Utilization,0.2896
Waiting Time,0.3938
Number Waiting,0.1981
Instantaneous Utilization,0.3470
Waiting Time,0.2600
Number Waiting,0.1238
Instantaneous Utilization,0.3166
Waiting Time,0.2475
Number Waiting,0.1156
Instantaneous Utilization,0.3085
Waiting Time,0.3484
Number Waiting,0.1735
Instantaneous Utilization,0.3377
Waiting Time,0.3415
Number Waiting,0.1581
Instantaneous Utilization,0.3155
Waiting Time,0.3031
Number Waiting,0.1425
Instantaneous Utilization,0.3297
Waiting Time,0.3298
Number Waiting,0.1593
Instantaneous Utilization,0.3251
Waiting Time,0.3159
Number Waiting,0.1514
Instantaneous Utilization,0.3214
Waiting Time,0.3494
Number Waiting,0.1625
Instantaneous Utilization,0.3271
Waiting Time,0.3312
Number Waiting,0.1660
Instantaneous Utilization,0.3130
Waiting Time,0.2628
Number Waiting,0.1261
Instantaneous Utilization,0.3126
Waiting Time,0.3661
Number Waiting,0.1856
Instantaneous Utilization,0.3508
Waiting Time,0.2905
Number Waiting,0.1397
Instantaneous Utilization,0.3155
Waiting Time,0.2747
Number Waiting,0.1442
Instantaneous Utilization,0.3568
Waiting Time,0.3362
Number Waiting,0.1664
Instantaneous Utilization,0.3310
Waiting Time,0.3644
Number Waiting,0.1749
Instantaneous Utilization,0.3193
Waiting Time,0.2183
Number Waiting,0.1033
Instantaneous Utilization,0.2789
Waiting Time,0.4226
Number Waiting,0.2236
Instantaneous Utilization,0.3725
Waiting Time,0.2695
Number Waiting,0.1303
Instantaneous Utilization,0.2959
Waiting Time,0.2630
Number Waiting,0.1331
Instantaneous Utilization,0.3282
Waiting Time,0.3721
Number Waiting,0.1794
Instantaneous Utilization,0.3320
Waiting Time,0.3608
Number Waiting,0.1757
Instantaneous Utilization,0.3637
Waiting Time,0.2045
Number Waiting,0.0916
Instantaneous Utilization,0.2806
Waiting Time,0.3083
Number Waiting,0.1468
Instantaneous Utilization,0.3322
Waiting Time,0.2942
Number Waiting,0.1353
Instantaneous Utilization,0.3014
Waiting Time,0.2711
Number Waiting,0.1272
Instantaneous Utilization,0.2943
Waiting Time,0.4294
Number Waiting,0.2085
Instantaneous Utilization,0.3461
Waiting Time,0.2803
Number Waiting,0.1373
Instantaneous Utilization,0.3366
Waiting Time,0.2730
Number Waiting,0.1269
Instantaneous Utilization,0.3081
Waiting Time,0.4375
Number Waiting,0.2070
Instantaneous Utilization,0.3299
Waiting Time,0.2044
Number Waiting,0.0950
Instantaneous Utilization,0.2915
Waiting Time,0.3384
Number Waiting,0.1532
Instantaneous Utilization,0.3212
Waiting Time,0.3406
Number Waiting,0.1733
