Waiting Time,ALTERAR.Queue,0.1869
Waiting Time,APP.Queue,0.3074
Waiting Time,BD.Queue,0.3112
Waiting Time,CONSULTAR.Queue,0.3326
Waiting Time,LOGIN.Queue,0.3800
Number Waiting,ALTERAR.Queue,0.05737848
Number Waiting,APP.Queue,0.2333
Number Waiting,BD.Queue,0.2530
Number Waiting,CONSULTAR.Queue,0.1686
Number Waiting,LOGIN.Queue,0.2884
Instantaneous Utilization,ResourceAlterar,0.2051
Instantaneous Utilization,ResourceApp,0.4026
Instantaneous Utilization,ResourceBD,0.4023
Instantaneous Utilization,ResourceConsultar,0.3207
Instantaneous Utilization,ResourceLogin,0.4192
Waiting Time,ALTERAR.Queue,0.2150
Waiting Time,APP.Queue,0.2884
Waiting Time,BD.Queue,0.2916
Waiting Time,CONSULTAR.Queue,0.2510
Waiting Time,LOGIN.Queue,0.5452
Number Waiting,ALTERAR.Queue,0.06535994
Number Waiting,APP.Queue,0.2108
Number Waiting,BD.Queue,0.2318
Number Waiting,CONSULTAR.Queue,0.1252
Number Waiting,LOGIN.Queue,0.3986
Instantaneous Utilization,ResourceAlterar,0.2352
Instantaneous Utilization,ResourceApp,0.3865
Instantaneous Utilization,ResourceBD,0.3718
Instantaneous Utilization,ResourceConsultar,0.2977
Instantaneous Utilization,ResourceLogin,0.4503
Waiting Time,ALTERAR.Queue,0.1454
Waiting Time,APP.Queue,0.2783
Waiting Time,BD.Queue,0.2258
Waiting Time,CONSULTAR.Queue,0.3794
Waiting Time,LOGIN.Queue,0.4188
Number Waiting,ALTERAR.Queue,0.05079042
Number Waiting,APP.Queue,0.2113
Number Waiting,BD.Queue,0.1835
Number Waiting,CONSULTAR.Queue,0.1783
Number Waiting,LOGIN.Queue,0.3179
Instantaneous Utilization,ResourceAlterar,0.2394
Instantaneous Utilization,ResourceApp,0.3937
Instantaneous Utilization,ResourceBD,0.3909
Instantaneous Utilization,ResourceConsultar,0.3175
Instantaneous Utilization,ResourceLogin,0.4378
Waiting Time,ALTERAR.Queue,0.1320
Waiting Time,APP.Queue,0.3325
Waiting Time,BD.Queue,0.3137
Waiting Time,CONSULTAR.Queue,0.2208
Waiting Time,LOGIN.Queue,0.3346
Number Waiting,ALTERAR.Queue,0.03999789
Number Waiting,APP.Queue,0.2410
Number Waiting,BD.Queue,0.2350
Number Waiting,CONSULTAR.Queue,0.1023
Number Waiting,LOGIN.Queue,0.2359
Instantaneous Utilization,ResourceAlterar,0.2068
Instantaneous Utilization,ResourceApp,0.3605
Instantaneous Utilization,ResourceBD,0.3609
Instantaneous Utilization,ResourceConsultar,0.2835
Instantaneous Utilization,ResourceLogin,0.4312
Waiting Time,ALTERAR.Queue,0.2675
Waiting Time,APP.Queue,0.2424
Waiting Time,BD.Queue,0.2935
